enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Sunny intervals and a gentle breeze,3,28,83,36,22,46,2022-07-20,5,Low chance of precipitation,1015,25,78,14:00,1,Good,3,Sunny Intervals,A gentle breeze from the west south west,WSW,WSW,West South Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,28,83,36,22,44,2022-07-20,5,Low chance of precipitation,1015,26,79,15:00,1,Good,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,29,84,36,22,42,2022-07-20,5,Low chance of precipitation,1016,27,80,16:00,1,Good,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,19,12,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,29,84,35,22,42,2022-07-20,5,Low chance of precipitation,1016,27,80,17:00,1,Good,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,28,83,33,21,42,2022-07-20,6,Low chance of precipitation,1017,26,79,18:00,1,Good,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,27,81,31,19,44,2022-07-20,5,Low chance of precipitation,1017,25,77,19:00,1,Good,3,Sunny Intervals,A gentle breeze from the west north west,WNW,WNW,West North Westerly,17,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,26,78,28,18,47,2022-07-20,6,Low chance of precipitation,1018,24,75,20:00,1,Good,3,Sunny Intervals,A gentle breeze from the west north west,WNW,WNW,West North Westerly,16,10,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,24,75,26,16,50,2022-07-20,7,Low chance of precipitation,1019,23,73,21:00,1,Good,3,Sunny Intervals,A gentle breeze from the west north west,WNW,WNW,West North Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,23,73,25,15,54,2022-07-20,6,Low chance of precipitation,1020,21,70,22:00,1,Good,2,Partly Cloudy,A gentle breeze from the west north west,WNW,WNW,West North Westerly,13,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,21,71,24,15,57,2022-07-20,3,Low chance of precipitation,1021,20,68,23:00,1,Good,2,Partly Cloudy,A gentle breeze from the west north west,WNW,WNW,West North Westerly,12,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
